Component,Description,Type
HIWPshortDescrip,"High involvement work programs (HIWPs) are a set of interconnected human resource management strategies and organizational programs designed to enhance employee engagement, autonomy, and decision-making capabilities. These programs aim to align employee skills, knowledge, and motivation with organizational goals, thereby improving both individual and organizational performance. Synonyms: High-performance work practices (HPWPs); High-commitment work practices; High-engagement work practices; High-involvement management practices; Innovative work practices; Employee involvement practices; Participative management practices; High-performance human resource practices ;Advanced human resource management systems; Commitment-based HR systems; Performance-enhancing HR practices; High Involvement work practices; HIWP;High commitment work practices; HCWP; High performance work systems; HPWS; Strategic human resource management practices ",cat1
HIWPLongDescrip,"High Involvement work programs High Involvement work practices High commitment work practices High performing work systems Rigorous Selection and Recruitment Selecting the most suitable candidates using intensive interviews, psychometric and skill tests, and thorough background checks. Invest significant time and resources into the hiring process, including screening candidates carefully, conducting multiple interviews, and utilizing assessments to ensure candidates have the required competencies.Use of validated psychological assessments and structured interviews to screen candidates.Requiring candidates to perform job simulations and skills testing.Assessing candidates' cultural fit with the organization.Looking for evidence of past achievements and behaviors indicative of high performance Continuous Training and Development Investing in employee training and development through internal and external training courses. Training is seen as an ongoing investment rather than a one-time cost. Employees at all levels receive training to enhance their skills. Mentoring and leadership development programs are common. Offering tuition reimbursement programs for advanced education.Frequent training in new technologies, tools, and business strategies. Job rotations and cross-training to develop well-rounded employees.Leadership development programs to build managerial skills.Mentoring and coaching of new hires by experienced employees Employee participation Autonomy and Empowerment Employees are involved in problem-solving and continuous improvement initiatives. Their input into decisions like work processes, product development, and strategy is valued.Providing employees with more autonomy in their roles, allowing them to make decisions and have greater control over their work.Self-managed teams - Teams are given autonomy over decisions like task assignment, schedules, and process improvements. Teams manage their own workload and policies.Flexible job assignments - Employees are developed as generalists and can move between roles. Job rotations and cross-training allow employees to gain experience in multiple functions.Involving employees in decision-making at all levels to increase engagement and job satisfaction. Performance Evaluation and Feedback Providing regular, constructive feedback on employee performance through formalized performance reviews and informal feedback. Competitive Compensation and Benefits Offering competitive wages, health and wellness benefits. Merit-based compensation - Pay, bonuses, stock options and promotions are tied to individual and team performance metrics, not tenure. High performers receive larger rewards.Pay-for-performance plans that reward individual accomplishments. Group bonuses tied to team metrics like quality, productivity, safety.Incentive stock options or  profit sharing to align employee goals with company performance. Rewards for learning new skills and upgrading capabilities.Benchmarking compensation against industry standards. Skill-based pay - Compensation is based on certifications, new skills and capabilities employees acquire that provide business value. Fair Work Practices Treating employees fairly and equitably, promoting an inclusive and diverse workplace, and preventing discrimination and harassment.Layoffs are seen as a last resort. The company provides stable employment and looks to redeploy rather than terminate employees. Open and Transparent Communication Sharing information about organizational performance, future strategies, and organizational changes, and providing channels for employees to share their ideas and concerns.Company shares information on financials, strategy, and metrics widely. This increases transparency and helps employees understand how their work contributes.Regular staff meetings to share updates and gather employee feedback. Anonymous employee surveys to measure engagement and work culture. Soliciting ideas from frontline staff to improve processes.Open door policies that encourage employees to voice concerns. Company-wide town halls for two-way communication with leadership Career and Succession Planning Helping employees chart a clear path for their development and progression within the organization, and planning for the replacement of key employees. Leadership Development A conscious effort to develop leadership skills among employees, particularly those seen as potential future leaders. Work-Life Balance Implementing policies and programs that help employees balance their work and personal responsibilities, such as flexible work hours, telecommuting, parental leave, and employee assistance programs. Performance Recognition Recognizing and rewarding good performance to motivate employees to strive towards their goals. Positive Organizational Culture Fostering an organizational culture that values cooperation, respect, integrity, and innovation",cat2
10.4995/wpom.19631,A noise audit of the peer review of a scientific article: a WPOM journal case study. This study aims to be one of the first to analyse the noise level in the peer review process of scientific articles. Noise is defined as the undesired variability in the ,art
10.4995/wpom.20088,"Lean Management a Co-occurrence Analysis. The objective of this work is to identify and visualize the intellectual structure of the Lean Manufacturing research field. To achieve this, a bibliometric analysis will be carried out that combines a performance",art
10.4995/wpom.17938,"SQAS, social responsibility assessment or instrumentalisation?. Safety and Quality Assessment for Sustainability (SQAS) is evaluation promoted by an as-sociation of chemical companies called CEFIC. Its vocation is to serve as a tool for the as-sessment of",art
10.4995/wpom.16096,A Systematic Literature Review Protocol for the analysis of practices measurments instruments and contextual factors inherent to Supply Chain Agility. Supply Chain Agility (SCA) has recently received substantial attention in the literature and in practice,art
10.4995/wpom.16808,What does the wage structure depend on? Evidence from the national salary survey in Spain. Purpose: This paper aims to assess extrinsic motivation in the Spanish labor market. We focus on evaluating whether remuneration programs have a sufficient prevalen,art
10.4995/wpom.17670,"Protocol: Systematic literature review on family business and information and communication technologies. Family businesses move the Spanish economy and are the main job generators in the country, adapting to changes where it is necessary and useful to in",art
10.4995/wporn.14699,"Design and Development of a Genetic Algorithm Based on Fuzzy Inference Systems for Personnel Assignment Problem. In today's competitive markets, the role of human resources as a sustainable competitive advantage is undeniable. Reliable hiring decisions fo",art
10.4995/wpom.v12i1.14517,Impact of Green Initiatives on the Financial Performance of Small and Medium Enterprises: The Case of Manufacturing Firm in Central Luzon. This study was conducted to propose the Green Economic Development Plan or G.E.D. plan which may be used as guide by,art
10.4995/wpom.17628,"How to measure cultural fit in organizations. The CFAM Method. Organizational culture is definitely a transcendental element in terms of the development and smooth running of organizations. However, there are still very few companies that are ac-tively ma",art
10.4995/wpom.16780,Protocol: Systematic literature review of the application of the multicriteria decision analysis methodology in the evaluation of urban freight logistics initiatives. The paper presents a protocol for conducting a systematic literature review (SLR) on the,art
10.4995/wpom.15677,How to improve students' experience in blending learning? Evidence from the perceptions of students in a Postgraduate Master's Degree. This paper examines the perceptions of a group of students of a Postgraduate Master's Degree in Cosmetics Industry at th,art
10.4995/wpom.17243,"Human resource development practices and organizational performance: Examining the mediating role of transformational leadership style. Human resource development practices focus on the specific goals of the organization, about what needs to be done and t",art
10.4995/wpom.15766,Identifying and Prioritizing the Effective Criteria in Selecting Lean Six Sigma Improvement Projects in the Healthcare Sector. The main objective of this study was to identify and prioritize effective criteria in selecting Lean Six Sigma improvement proje,art
10.4995/wpom.7243,Teaching experiences based on action research: a guide to publishing in scientific journals. A Spanish version of the article is provided (see section before references).The aim of this paper is to justify action research as an adequate research model (su,art
10.4995/wpom.15497,Does organizational justice enhance job performance through high-performance human resource practices?. This study aims to analyze the influence of organizational justice on job performance intention via the mediating influence of high-performance human r,art
10.4995/wpom.20268,"Inventory Optimization of Deteriorating Items: A Comprehensive Review of Carbon-Control Policies and Their Impact on Shelf Life, Greening Effects, and Rework Policies. This study examines the deteriorating inventory management problem for items with short",art
10.4995/wpom.18697,Automation of Post-Order Costing Analysis ByUsing Visual Basic For Applications In Microsoft Excel: A Case Study. Microsoft Excel is used to carry out reporting tasks in small and medium companies across the globe. Most people make reports manually in Mic,art
10.4995/wpom.19824,"Integrating the SDG into university teaching: an application in human resources subjects. The aim of this paper is to propose different initiatives to integrate the SDG into university education. To do so, firstly, some theoretical questions about the SDG",art
10.4995/wpom.11755,Three-stage publishing to support evidence-based management practice. A Spanish version of the article is provided (see section before annex).This article proposes a 4-step model for scientific dissemination that aims to promote evidence-based professiona,art
10.4995/wpom.18118,"Protocol paper: Needs analysis for the development of innovation competence in higher education remote learning environments. This work adheres to the recommendations for publication in three steps (Marin-Garcia, 2021). We propose a protocol to develop re",art
10.4995/wpom.14769,"Analysis of the motivation policy from a gender perspective. The main objective of this paper is to present a method to analyze the motivational policy based on a gender perspective. To do this, we carry out the study of the motivating factors with the gr",art
10.4995/wpom.16244,Case report papers guidelines: Recommendations for the reporting of case studies or action research in Business Management. A Spanish version of the article is provided (see section before references).Objective: To provide a working guide which facilitate,art
10.4995/wpom.18031,"The part-time assistant professor in the Spanish university from an autoethnographic approach. The figure of the part-time assistant professor has been gaining presence in Spanish uni-versities since its inception in the 1980s, especially since 2010 with ",art
10.4995/wpom.15332,A data generator for covid-19 patients' care requirements inside hospitals. A Spanish version of the article is provided (see section before references). This paper presents the generation of a plausible data set related to the needs of COVID-19 patients ,art
10.3926/ic.2513,"Factors affecting virtual work arrangements and organizational performance: Assessed within the context of Nepalese organizations. Purpose: Virtual business has great potential, and excellent work management is vital to the next generation's thinking. Thi",art
10.3926/ic.2408,The effect of subjective well-being at work in successful organizational management. Purpose: The objective of this research was to analyze the effect of subjective well-being on successful organizational management through the study and measurement of th,art
10.3926/ic.1686,"Strategic orientation to educational innovation: A systematic review and conceptual model. Purpose: To carry out a systematic literature review on strategic orientation to educational innovation (SOEI), considering methodological and conceptual aspects.De",art
10.3926/ic.2261,Analysis of the Mondragon case's competitiveness from a systemic perspective. Purpose: This study analyses some of the aspects that contribute to the better performance of Mondragon Corporation compared to other cooperatives and to the rest of the compani,art
