Component;Description;Type;;;;;;;;;;;;;;;
Mongoose;A popular ODM library specifically designed for MongoDB and Node.js.. Mongoose provides schema-based modeling, middleware hooks, validation, and population mechanisms�facilitating robust data modeling and architectural consistency in backend JavaScript applications. It is the core technology being explored in your review.;cat1; High-involvement management practices; Innovative work practices; Employee involvement practices; Participative management practices; High-performance human resource practices ;Advanced human resource management systems; Commitment-based HR systems; Performance-enhancing HR practices; High Involvement work practices; HIWP;High commitment work practices; HCWP; High performance work systems; HPWS;" Strategic human resource management practices "",cat1"
ObjectDocumentMapping;A programming abstraction that maps objects in application code to documents in a NoSQL database like MongoDB. ODMs allow developers to define schemas, validate data, and perform CRUD operations through object-oriented interfaces�making data access and manipulation more structured in document-based systems.;cat1;;;;;;;;;;;;;;;
Node;A server-side JavaScript runtime environment based on Chrome�s V8 engine. Node.js enables the development of scalable, event-driven, and non-blocking I/O applications. It provides the execution context in which Mongoose operates, and is the target platform for backend development practices under review.;cat1;;;;;;;;;;;;;;;
DevelopmentPractices;Remote work refers to a flexible work arrangement where employees perform their job duties from a location outside the traditional office environment, typically utilizing information and communication technologies to maintain connectivity with their organization and colleagues.: Telework, Telecommuting, Virtual work, Distributed work, Mobile work, E-work, Distance work, Flexible work, Work from home (WFH), Offsite work, Geographically dispersed work, Networked work, Location-independent work, Remote employment, Satellite work;cat2;;;;;;;;;;;;;;;
PerformanceImplications;Describes the impact that the use of Mongoose has on application performance, including latency, query execution times, memory usage, and resource overhead. This also covers discussions about how certain schema designs, population features, or abstraction layers introduced by Mongoose affect throughput, scalability, and overall responsiveness of Node.js applications.;cat2;;;;;;;;;;;;;;;
DesignPatterns;Refers to recurring architectural and structural solutions applied within Mongoose-based Node.js applications to solve common software design problems. This can include implementation of Repository Pattern, DAO (Data Access Object), MVC/MVVM integrations, modular schema strategies, or hybrid designs that balance raw MongoDB access with Mongoose abstraction. These patterns influence reusability, separation of concerns, and maintainability.;cat2;;;;;;;;;;;;;;;
art1;Analysis of node.js application performance using mongoDB drivers. At the last few years, the usage of NoSQL databases has increased, and consequently, the need for integrating with different programming languages. In that way, database drivers provide an API to perform database operations, which may impact on the performance of applications. In this article, we present a comparative study between two main drivers solutions to MongoDB in Node.js, through the evaluation of CRUD tests based on quantitative metrics (time execution, memory consumption, and CPU usage). Our results show which, under quantitative analysis, the MongoClient driver has presented a better performance than Mongoose driver in the considered scenarios, which may imply as the best alternative in the development of Node.js applications. © Springer Nature Switzerland AG 2020.;art;;;;;;;;;;;;;;;
art2;MongoDB integration with Python and Node.js, Express.js. This scholarly article presents a detailed examination of the seamless integration of MongoDB, a well-established NoSQL database, with two widely used programming languages - Python and Node.js. MongoDB's inherent adaptability, extensive scalability, and focus on document-centricity position it as a premier choice for contemporary web and application development. Python and Node.js, recognized for their versatility and comprehensive libraries, serve as robust frameworks for interacting with MongoDB. The study delves into the intricate process of integrating MongoDB with Python and Node.js, meticulously analyzing the distinct drivers and Application Programming Interfaces (APIs) associated with each language. The document also highlights a comprehensive analysis of the PyMongo Driver, a crucial component facilitating the seamless integration of MongoDB with the Python programming language. Furthermore, the article duly acknowledges the advantages of incorporating the Mongoose driver in the integration of MongoDB with Node.js and Express.js. Overall, this scholarly inquiry provides valuable insights into the integration process, emphasizing the significance of language-specific drivers and APIs, and offering a holistic perspective on the advantages and considerations associated with MongoDB integration with Python and Node.js.  © 2024 IEEE.;art;;;;;;;;;;;;;;;
art3;Exploring Digital Pet Care: The Development and Implementation of a Cat-Sitting Web Application. This paper introduces the design and development of a cat-sitting web application: PurrfectCatSitter, a pioneering solution in response to the escalating demand for dependable and professional pet care services. The application is architected with a user-centric approach, encompassing four principal pages: Home, Search, Contact, and Profile. Utilizing a combination of modern technologies such as HTML, CSS, JavaScript, Bootstrap for the front end, and Node.js, Express.js, MongoDB, and Mongoose for the back end, the application ensures a seamless and responsive user experience. Emphasizing the paramount concerns of trust and safety for cat owners, the paper elucidates how the application meticulously addresses these needs. By offering a transparent and secure platform for connecting cat owners with qualified sitters, the application stands as a significant contribution to the pet care industry, providing a reliable and innovative tool tailored to the unique requirements of cat care.  © 2023 IEEE.;art;;;;;;;;;;;;;;;
art4;Integrated Webapp For Campus Placement. Many institutions now do not have a platform where students can view all of the offers from various firms, and they must fill out the form with their information again for each company that visits. To minimize future problems, the college placement department must check each student's information. Companies rely on the Placement department to obtain information about selected applicants for additional procedures. To solve this problem, a platform for students to register and submit their updated profiles was required. Companies can see the applications received for a specific job vacancy, admin can approve or reject the student's registration based on the database present with him, and students can see various job openings from companies at a specific time. The current system is not a proper and appropriate method of implementing Training and Placement management because it becomes difficult for the placement department to manage all of the databases, send emails regarding offers to every student, and keep track of every student, whether they received an offer or not. As a result, this study created a platform for students to register and submit their updated profiles, reducing administrative effort. Companies get immediate access to the applications submitted for a specific employment opportunity. Features are supplied to immediately generate information from existing data. This study recommended segmenting the web app into three components for design: admin, company, and student. React JS is utilized as a frontend framework for development, Node JS as a server-side script for integration and REST operations, MongoDB and Mongoose for databases and connections, Redux for state management, and Axios for requests and answers.  © 2023 IEEE.;art;;;;;;;;;;;;;;;
art5;NGO Portal - A Platform to connect NGOs with prospective members. NGO Portal is a platform where various NGOs can register themselves and post their day to day activities and events organized by the NGO. Users can also follow other NGOs and keep updated about NGOs they follow. NGOs can post photos, videos, text related to an event or future event. Users can like, comment, and share those posts. Users can also watch the history of the NGO they are interested in. We used tools like ReactJs, ReduxJs, Javascript, HTML, CSS, NodeJs, Express Js to make a web application which can provide all the features to make an NGO portal. We used MongoDB and Mongoose to handle database requirements. © 2022 IEEE.;art;;;;;;;;;;;;;;;
